gnz-id,name,club,level,division,competition,round-type,day,fx-total,fx-d,fx-rank,ph-total,ph-d,pd-rank,sr-total,sr-d,sr-rank,vt-total,vt-d,v-rank,pb-total,pb-d,pb-rank,hb-total,hb-d,hb-rank,aa-total,aa-rank,date-created
509347,Night Geary,Hutt Valley,1,None,Hutt Valley Competition 2022,AA,1,11.4,2,1  ,0,0,0,11.1,2,2  ,11.45,2,7E  ,11.85,2,1  ,11.7,2,1  ,57.5,1  ,3/20/2022
284940,Colton de Ronde,Hutt Valley,1,None,Hutt Valley Competition 2022,AA,1,10.9,2,4  ,0,0,0,11.15,2,1  ,11.8,2,2E  ,11.3,2,7  ,11.6,2,2E  ,56.75,2  ,3/20/2022
606958,Regan Sawyer,Hutt Valley,1,None,Hutt Valley Competition 2022,AA,1,11.05,2,3  ,0,0,0,10.7,2,4E  ,11.8,2,2E  ,11.55,2,5  ,11.6,2,2E  ,56.7,3  ,3/20/2022
606995,Seiji Tavendale,Kapiti,1,None,Hutt Valley Competition 2022,AA,1,11.1,2,2  ,0,0,0,10.7,2,4E  ,11.6,2,4E  ,11.7,2,3  ,10.8,2,7E  ,55.9,4  ,3/20/2022
281246,Adam Fisher,Hutt Valley,1,None,Hutt Valley Competition 2022,AA,1,10.6,2,5  ,0,0,0,10.5,2,7  ,11.5,2,6  ,11.65,2,4  ,11.25,2,4  ,55.5,5  ,3/20/2022
658613,Raphael Vandrey,Hutt Valley,1,None,Hutt Valley Competition 2022,AA,1,10.3,2,6  ,0,0,0,10.65,2,6  ,11.45,2,7E  ,11.75,2,2  ,11.2,2,5  ,55.35,6  ,3/20/2022
552529,Jonathan Jackson,Hutt Valley,1,None,Hutt Valley Competition 2022,AA,1,10.25,2,7  ,0,0,0,10.95,2,3  ,11.9,2,1  ,11.1,2,8  ,10.95,2,6  ,55.15,7  ,3/20/2022
594113,Roman Meade,Hutt Valley,1,None,Hutt Valley Competition 2022,AA,1,9.45,2,9  ,0,0,0,9.8,2,8  ,11.25,2,9  ,11.35,2,6  ,10.75,2,9  ,52.6,8  ,3/20/2022
573192,Elliott Towers,Hutt Valley,1,None,Hutt Valley Competition 2022,AA,1,9.9,2,8  ,0,0,0,9.1,2,9  ,11.6,2,4E  ,10.95,2,9  ,10.8,2,7E  ,52.35,9  ,3/20/2022
662718,Caleb Bohnen,Hutt Valley,2,None,Hutt Valley Competition 2022,AA,1,10.75,2,1  ,11.3,2,1  ,11,2,2  ,11.65,2,1E  ,11.65,2,1  ,10.5,2,3  ,66.85,1  ,3/20/2022
566082,Zavier Alcomendras,Hutt Valley,2,None,Hutt Valley Competition 2022,AA,1,10.6,2,2  ,11,2,3  ,10.75,2,3  ,11.65,2,1E  ,11.2,2,2  ,11.4,2,1  ,66.6,2  ,3/20/2022
296457,Alex Chen,Hutt Valley,2,None,Hutt Valley Competition 2022,AA,1,10.5,2,3  ,10.85,2,4  ,11.2,2,1  ,10.25,2,8E  ,11.15,2,3  ,9.25,2,8  ,63.2,3  ,3/20/2022
635797,Tiago Meikle,Hutt Valley,2,None,Hutt Valley Competition 2022,AA,1,9.85,2,6  ,10.65,2,5  ,9.65,2,9  ,11.3,2,4  ,11.1,2,4  ,10.55,2,2  ,63.1,4  ,3/20/2022
281405,Kavish Bodalia,Hutt Valley,2,None,Hutt Valley Competition 2022,AA,1,9.05,2,9  ,11.1,2,2  ,10.55,2,4  ,11.35,2,3  ,10.95,2,5  ,9.7,1,6  ,62.7,5  ,3/20/2022
586890,Liam Davidson,Kapiti,2,None,Hutt Valley Competition 2022,AA,1,10.45,2,4  ,10,2,8  ,9.5,2,10  ,10.85,2,6  ,9.95,2,11  ,10.1,2,5  ,60.85,6  ,3/20/2022
621265,Luke Jones,Kapiti,2,None,Hutt Valley Competition 2022,AA,1,9.55,2,8  ,10.55,2,6  ,10,2,6E  ,9.85,2,10E  ,10,2,9E  ,10.45,2,4  ,60.4,7  ,3/20/2022
