gnz-id,name,club,level,division,competition,round-type,day,fx-total,fx-d,fx-rank,ph-total,ph-d,pd-rank,sr-total,sr-d,sr-rank,vt-total,vt-d,v-rank,pb-total,pb-d,pb-rank,hb-total,hb-d,hb-rank,aa-total,aa-rank,date-created
660659,Adam Wellum,Omni Gymnastic Centre,1,NONE,HBPB Junior Competition,AA,1,10.500,2.0,1,,,,11.200,2.0,1,10.850,2.0,10,10.650,2.0,5,10.250,2.0,1,53.450,1,20 March 2022
642625,Jacob Wairama,Omni Gymnastic Centre,1,NONE,HBPB Junior Competition,AA,1,9.150,1.0,10,,,,11.000,2.0,4,11.600,2.0,1,11.200,2.0,2,9.850,1.0,8=,52.800,2,20 March 2022
606732,Ryder Pollock,Omni Gymnastic Centre,1,NONE,HBPB Junior Competition,AA,1,10.100,2.0,3,,,,11.050,2.0,3,11.350,2.0,3,10.050,2.0,10,10.150,2.0,2=,52.700,3,20 March 2022
585073,Corban Fullard,Manawatu Gymsports,1,NONE,HBPB Junior Competition,AA,1,10.000,2.0,4,,,,10.700,2.0,6,10.800,2.0,11,10.100,2.0,9,10.000,2.0,5=,51.600,4,20 March 2022
296075,Zach Tomlinson,Manawatu Gymsports,1,NONE,HBPB Junior Competition,AA,1,10.300,2.0,2,,,,10.050,2.0,11=,11.100,2.0,8,9.900,2.0,11,10.150,1.0,2=,51.500,5,20 March 2022
551076,Felix Honeyfield,Omni Gymnastic Centre,1,NONE,HBPB Junior Competition,AA,1,9.300,2.0,9,,,,10.050,2.0,11=,11.200,2.0,7,11.300,2.0,1,9.450,2.0,11,51.300,6,20 March 2022
622913,Kingsley Peck,Manawatu Gymsports,1,NONE,HBPB Junior Competition,AA,1,9.600,2.0,6,,,,9.900,2.0,13,11.400,2.0,2,10.300,2.0,7=,10.000,2.0,5=,51.200,7=,20 March 2022
624361,Lachlan McPhee,Manawatu Gymsports,1,NONE,HBPB Junior Competition,AA,1,9.500,2.0,7,,,,10.100,2.0,9=,10.750,2.0,12=,10.700,2.0,4,10.150,2.0,2=,51.200,7=,20 March 2022
660864,Zac Parr,Manawatu Gymsports,1,NONE,HBPB Junior Competition,AA,1,8.200,2.0,12,,,,10.950,2.0,5,11.050,2.0,9,10.850,2.0,3,9.850,2.0,8=,50.900,9,20 March 2022
672151,Nicholas Russell,Manawatu Gymsports,1,NONE,HBPB Junior Competition,AA,1,9.850,2.0,5,,,,11.100,2.0,2,11.250,2.0,5=,9.600,2.0,12,8.850,2.0,13,50.650,10,20 March 2022
