,gnz-id,name,club,step,division,competition,round-type,fx-total,fx-d,fx-e,ph-total,ph-d,ph-e,sr-total,sr-d,sr-e,vt-total,vt-d,vt-e,pb-total,pb-d,pb-e,hb-total,hb-d,hb-e,aa-score,aa-rank,date-created
0,,Ryan Townsend,Auckland,Level 8,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,12.2,5.8,6.5,11.8,3.6,8.2,12.7,3.6,9.1,11.0,2.4,8.6,0.0,0.0,0.0,12.033,3.1,8.933,59.733,,2022-07-13
1,,Cole Stevens,Canterbury,Level 8,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,14.55,5.3,9.25,12.6,4.1,8.5,0.0,0.0,0.0,12.1,3.2,9.0,12.3,3.6,8.7,12.0,3.7,8.3,63.550,,2022-07-13
2,,Evan Byrne,Canterbury,Level 8,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,13.05,5.7,7.35,10.35,3.2,7.15,10.466,3.1,7.366,12.2,3.2,9.0,12.35,5.3,7.05,11.933,2.7,9.233,70.349,,2022-07-13
3,,Sam Alexander,Hawkes Bay/Poverty Bay,Level 8,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,0.0,0.0,0.0,9.8,3.2,6.6,0.0,0.0,0.0,13.05,4.1,8.95,11.9,3.4,8.5,9.9,2.9,7.0,44.650,,2022-07-13
4,,Rohan Leckie-Zaharic,Otago,Level 8,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,14.1,7.1,7.0,0.0,0.0,0.0,11.6,2.9,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.700,,2022-07-13
5,,Will Orchiston,Otago,Level 8,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,13.55,6.8,7.25,0.0,0.0,0.0,11.866,3.6,8.266,12.1,3.2,8.9,12.1,3.6,8.5,0.0,0.0,0.0,49.616,,2022-07-13
6,,William Cresswell,Otago,Level 8,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,14.75,6.2,8.55,12.0,4.1,7.9,13.533,4.8,8.733,9.65,2.4,7.55,13.05,4.5,8.55,11.0,2.9,8.1,73.983,,2022-07-13
7,,Bailey Keepin,Southland,Level 8,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,0.0,0.0,0.0,10.85,3.6,7.25,11.7,4.3,7.4,11.8,2.8,9.1,11.55,3.2,8.35,11.433,3.0,8.433,57.333,,2022-07-13
8,,Lewis Karetai,Top of the South,Level 8,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,14.3,5.6,8.7,6.0,2.5,5.5,0.0,0.0,0.0,12.55,3.2,9.35,13.0,4.1,8.9,0.0,0.0,0.0,45.850,,2022-07-13
9,,Cade Rowlingson,Waikato,Level 8,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,14.5,6.1,8.4,8.1,3.9,4.2,12.866,3.8,9.066,0.0,0.0,0.0,11.95,4.0,7.95,12.4,3.3,9.1,59.816,,2022-07-13
